president|link
fhc|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10608-discurso-do-senhor-presidente-da-republica-no-jantar-oferecido-pelo-presidente-da-republica-portuguesa-jorge-sampaio-no-palacio-da-ajuda
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10565-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-cerimonia-de-posse-do-presidente-do-sebrae-paulo-okamotto
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10583-discurso-do-presidente-luiz-inacio-lula-da-silva-por-ocasiao-da-visita-do-presidente-da-republica-tcheca-vaclav-klaus-palacio-itamaraty-24-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10585-discurso-do-presidente-luiz-inacio-lula-da-silva-por-ocasiao-de-encerramento-do-iii-encontro-empresarial-brasil-ira-palacio-itamaraty-23-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10587-discurso-do-presidente-luiz-inacio-lula-da-silva-apos-assinatura-de-atos-por-ocasiao-da-visita-do-presidente-do-ira-mahmoud-ahmadinejad-palacio-itamaraty-23-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10588-discurso-do-senhor-presidente-da-republica-no-almoco-em-homenagem-as-personalidades-do-ano-brasil-portugal
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10591-discurso-do-presidente-luiz-inacio-lula-da-silva-por-ocasiao-da-visita-do-presidente-da-autoridade-nacional-palestina-mahmoud-abbas-salvador-20-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10597-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-dialogo-aberto-dos-presidentes-na-cupula-do-mercosul-cordoba-argentina-21-07-2006
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10706-declaracao-a-imprensa-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-visita-do-presidente-da-autoridade-nacional-palestina-mahmoud-abbas-salvador-20-de-novembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10707-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-sessao-de-abertura-da-cupula-mundial-sobre-seguranca-alimentar-roma-16-de-novembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10708-declaracao-seguida-de-entrevista-coletiva-concedida-pelo-presidente-da-republica-luiz-inacio-lula-da-silva-em-conjunto-com-o-presidente-da-franca-nicolas-sarkozy-paris-14-de-novembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10709-declaracao-a-imprensa-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-visita-do-presidente-de-israel-shimon-peres-palacio-itamaraty-11-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10710-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-almoco-do-forum-da-inovacao-franca-brasil-alusivo-ao-encerramento-do-ano-da-franca-no-brasil-sao-paulo-10-de-novembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10712-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-no-forum-de-negocios-brasil-italia-sao-paulo-sp-10-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10723-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-cerimonia-de-recebimento-do-premio-chatham-house-londres-inglaterra-05-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10725-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-abertura-do-seminario-investing-in-brazil-summit-identifying-opportunities-in-the-new-economic-climate-londres-inglaterra-05-11-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10776-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-assinatura-de-atos-el-tigre-30-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10777-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-reuniao-com-o-presidente-da-venezuela-hugo-chavez-el-tigre-venezuela-30-10-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10778-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-cerimonia-de-inauguracao-do-consulado-geral-do-brasil-e-do-escritorio-da-caixa-economica-federal-em-caracas-caracas-venezuela-29-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10779-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-posse-do-ministro-da-secretaria-de-assuntos-estrategicos-da-presidencia-da-republica-samuel-pinheiro-guimaraes-palacio-itamaraty-20-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10780-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-sessao-de-encerramento-do-seminario-empresarial-brasil-colombia-novas-fronteiras-para-as-relacoes-economico-comerciais-sao-paulo-19-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10781-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-jantar-oferecido-pelos-reis-da-suecia-estocolmo-06-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10782-declaracao-do-presidente-da-republica-luiz-inacio-lula-da-silva-a-imprensa-apos-reuniao-plenaria-da-iii-cupula-brasil-uniao-europeia-estocolmo-6-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10783-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-durante-sessao-de-encerramento-da-iii-cupula-brasil-uniao-europeia-estocolmo-06-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10784-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-na-sessao-de-apresentacao-da-candidatura-rio-2016-ao-comite-olimpico-internacional-coi-copenhague-02-de-outubro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10805-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10806-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-plenaria-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10807-terceira-intervencao-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10808-segunda-intervencao-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10811-primeira-intervencao-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-da-ii-cupula-america-do-sul-africa-isla-margarita-26-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10813-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-do-debate-geral-da-64-sessao-da-assembleia-geral-das-nacoes-unidas-nova-york-23-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10814-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-entrega-do-premio-woodrow-wilson-for-public-service-nova-york-21-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10815-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-almoco-oferecido-ao-presidente-do-malawi-bingu-wa-mutharika-palacio-itamaraty-16-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10816-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-inauguracao-da-ponte-binacional-sobre-o-rio-itacutu-boa-vista-14-de-setembro-de-2009
lula|/pt-BR/discursos-artigos-e-entrevistas-categoria/presidente-da-republica-federativa-do-brasil-discursos/10818-discurso-do-presidente-da-republica-luiz-inacio-lula-da-silva-por-ocasiao-de-assinatura-de-acordo-de-cooperacao-em-tv-digital-entre-brasil-e-argentina-bariloche-28-de-agosto-de-2009
